gn born; Ente,Margin of Error, , , , , ,
S0502,1,Foreign-born population,3047676,+/-33196,721599,+/-23712,970940,+/-21180,1355137,+/-24311,,,,,,
S0502,1.5,CITIZENSHIP,,,,,,,,,,,,,,
S0502,2,Naturalized citizen,51.8,+/-0.7,12.9,+/-1.0,47.0,+/-1.3,76.0,+/-0.7,,,,,,
S0502,3,Not a citizen,48.2,+/-0.7,87.1,+/-1.0,53.0,+/-1.3,24.0,+/-0.7,,,,,,
S0502,3.3, ,,,,,,,,,,,,,,
S0502,3.5,WORLD REGION OF BIRTH OF FOREIGN BORN,,,,,,,,,,,,,,
S0502,4,Foreign-born population excluding population born at sea,3047676,+/-33196,721
