.1"
"DP02",120.0,"Speak English less than ""very well""","9,729","+/-2,048","0.2","+/-0.1"
"DP02",120.3,,,,,
"DP02",120.5,"ANCESTRY",,,,
"DP02",121.0,"Total population","5,413,212","*****","100","(X)"
"DP02",122.0,"American","214,036","+/-12,973","4.0","+/-0.2"
"DP02",123.0,"Arab","37,566","+/-6,047","0.7","+/-0.1"
"DP02",124.0,"Czech","12,663","+/-1,762","0.2","+/-0.1"
"DP02",125.0,"Danish","8,295","+/-2,227","0.2","+/-0.1"
"DP02",126.0,"Dutch","34,877","+/-4,238","0.6","+/-0.1"
"DP02",127.0,"English","244
