l, scientific, and technical services","69,026","+/-4,011","65,015","73,037"
"B24040",196.000,"Management of companies and enterprises","1,454","+/-683","771","2,137"
"B24040",197.000,"Administrative and support and waste management services","20,060","+/-2,566","17,494","22,626"
"B24040",198.000,"Educational services, and health care and social assistance:","178,496","+/-6,238","172,258","184,734"
"B24040",199.000,"Educational services","62,740","+/-4,237","58,503","66,977"
"B24040",200.000,"Health care an
