ther transportation, and support activities, and couriers","22,421","+/-2,230","20,191","24,651"
"B24030",79.000,"Warehousing and storage","3,670","+/-1,119","2,551","4,789"
"B24030",80.000,"Utilities","14,092","+/-1,925","12,167","16,017"
"B24030",81.000,"Information:","38,163","+/-2,714","35,449","40,877"
"B24030",82.000,"Publishing, and motion picture and sound recording industries","9,619","+/-1,602","8,017","11,221"
"B24030",83.000,"Broadcasting and telecommunications","22,976","+/-2,178","20,798","25,
