 022)",231,"Male householder, no spouse present, family","6.7","+/-1.1","7.1","+/-2.6"
"529","English (015, 022)",232,"Median income (dollars)","31,289","+/-1,405","34,244","+/-11,781"
"529","English (015, 022)",233,"Female householder, no husband present, family","16.9","+/-1.6","13.8","+/-3.7"
"529","English (015, 022)",234,"Median income (dollars)","22,028","+/-2,695","22,776","+/-14,392"
"529","English (015, 022)",235,"Individuals","665,912","+/-4,758","86,436","+/-5,976"
"529","English (015, 022)",236,
