169999 ,BEANS DRY EDIBLE UNSPECIFIED ,21 ,Glenn ,3033 ,1.55 ,4701 ,840.03 ,TONS ,3949000
2007 ,169999 ,BEANS DRY EDIBLE UNSPECIFIED ,29 ,Kern ,4811 ,1.28 ,6180 ,729.13 ,TONS ,4506000
2007 ,169999 ,BEANS DRY EDIBLE UNSPECIFIED ,39 ,Madera ,420 ,1.66 ,697 ,780.49 ,TONS ,544000
2007 ,169999 ,BEANS DRY EDIBLE UNSPECIFIED ,47 ,Merced ,505 ,1.21 ,612 ,766.34 ,TON ,469000
2007 ,169999 ,BEANS DRY EDIBLE UNSPECIFIED ,53 ,Monterey ,575 ,1.19 ,685 ,1379.56 ,TONS ,945000
2007 ,169999 ,BEANS DRY EDIBLE UNSPECIFIED 
