0,"Italy","1,495","+/-549","946","2,044"
"C05006",15.000,"Portugal","1,230","+/-946","284","2,176"
"C05006",16.000,"Other Southern Europe","3,867","+/-1,260","2,607","5,127"
"C05006",17.000,"Eastern Europe:","23,299","+/-3,678","19,621","26,977"
"C05006",18.000,"Poland","3,866","+/-1,799","2,067","5,665"
"C05006",19.000,"Russia","5,794","+/-1,688","4,106","7,482"
"C05006",20.000,"Other Eastern Europe","13,639","+/-2,639","11,000","16,278"
"C05006",21.000,"Europe, n.e.c.","0","+/-283","0","283"
"C05006",22.0
