Native",137,"Not a U.S. citizen","79,477","+/-6,509","N","N"
"600","Native",138,"Male","51.0","+/-2.9","-","**"
"600","Native",139,"Female","49.0","+/-2.9","-","**"
"600","Native",140,"Entered 2000 or later","28.8","+/-3.8","-","**"
"600","Native",141,"Entered 1990 to 1999","25.0","+/-2.4","-","**"
"600","Native",142,"Entered before 1990","46.2","+/-2.9","-","**"
"600","Native",143,"Foreign-born population excluding population born at sea","130,510","+/-7,225","N","N"
"600","Native",144,"Europe","11.5","+/-
