4.6","+/-0.1","14.0","+/-0.1","16.0","+/-0.2",,,,,,
"S2503",9.0,"$50,000 to $74,999","19.8","+/-0.1","22.3","+/-0.2","13.9","+/-0.3",,,,,,
"S2503",10.0,"$75,000 to $99,999","13.0","+/-0.1","16.2","+/-0.1","5.3","+/-0.1",,,,,,
"S2503",11.0,"$100,000 to $149,999","12.0","+/-0.1","15.9","+/-0.1","2.7","+/-0.1",,,,,,
"S2503",12.0,"$150,000 or more","7.1","+/-0.1","9.7","+/-0.1","1.1","+/-0.1",,,,,,
"S2503",13.0,"Median household income (dollars)","51,736","+/-134","65,118","+/-188","27,433","+/-154",,,,,,
"S250
