nation with one or more other races",135,"Male","46.8","+/-12.7","43.7","+/-15.6"
"003","White alone or in combination with one or more other races",136,"Female","53.2","+/-12.7","56.3","+/-15.6"
"003","White alone or in combination with one or more other races",137,"Not a U.S. citizen","12,502","+/-2,409","6,621","+/-2,363"
"003","White alone or in combination with one or more other races",138,"Male","58.4","+/-8.0","51.6","+/-13.1"
"003","White alone or in combination with one or more other races",139,"Fe
