Laborers and material movers, hand","N","N","N","N"
"B24010",253.000,"Material moving workers except laborers and material movers, hand","N","N","N","N"
"B24010A",.,"SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER (WHITE ALONE)",,,,
"B24010A",.,"Universe:  Civilian employed White alone population 16 years and over",,,,
"B24010A",1.000,"Total:","19,842","+/-2,377","17,465","22,219"
"B24010A",2.000,"Male:","9,682","+/-1,396","8,286","11,078"
"B24010A",3.000,"Management, professional, 
