exico",199,"Manufacturing","7.7","+/-0.7","7.2","+/-2.4"
"717","Mexico",200,"Wholesale trade","2.1","+/-0.4","1.3","+/-1.1"
"717","Mexico",201,"Retail trade","11.4","+/-0.7","6.4","+/-2.0"
"717","Mexico",202,"Transportation and warehousing, and utilities","4.4","+/-0.5","2.9","+/-1.3"
"717","Mexico",203,"Information","2.1","+/-0.4","1.5","+/-1.0"
"717","Mexico",204,"Finance and insurance, and real estate and rental and leasing","5.8","+/-0.6","2.3","+/-1.0"
"717","Mexico",205,"Professional, scientific, and 
