4)",30,"Female","49.1","+/-1.0","50.7","+/-3.3"
"573","American (993-994)",31,"35 to 64 years","272,563","+/-2,797","67,217","+/-3,920"
"573","American (993-994)",32,"Male","49.0","+/-0.3","48.9","+/-1.9"
"573","American (993-994)",33,"Female","51.0","+/-0.3","51.1","+/-1.9"
"573","American (993-994)",34,"65 years and over","105,064","+/-1,342","26,810","+/-2,249"
"573","American (993-994)",35,"Male","41.9","+/-0.5","42.0","+/-3.0"
"573","American (993-994)",36,"Female","58.1","+/-0.5","58.0","+/-3.0"
"573"
