 -5603,         -5805,          -7040
    "",            "",            "",            "",             ""
  "90",        289444,        321274,        151581,          39633
  "91",        221562,        259641,        137267,          70326
  "92",        254783,        282646,        168589,          84084
  "93",        -33221,        -23005,        -31322,         -13758
  "94",          4128,          -261,        -29054,           6755
  "95",         63754,         61894,         43368,       
