h one or more other races",226,"With Food Stamp benefits","8.4","+/-0.8","17.3","+/-3.0"
"071","Some other race alone or in combination with one or more other races",227,"Families","231,648","+/-4,443","38,494","+/-2,717"
"071","Some other race alone or in combination with one or more other races",228,"Median family income (dollars)","55,219","+/-1,522","38,102","+/-3,576"
"071","Some other race alone or in combination with one or more other races",229,"Married-couple family","72.2","+/-1.4","54.3","+/-4.1"
