sional school","8,477","+/-1,294","79.7","+/-6.2","20.3","+/-6.2",,,,,,
"S1401",8.3,,,,,,,,,,,,,
"S1401",8.5,"Percent of age group enrolled in school --",,,,,,,,,,,,
"S1401",9.0,"3 and 4 years","49.8","+/-4.7","76.9","+/-6.0","23.1","+/-6.0",,,,,,
"S1401",10.0,"5 to 9 years","95.1","+/-1.5","90.3","+/-2.2","9.7","+/-2.2",,,,,,
"S1401",11.0,"10 to 14 years","98.8","+/-0.7","90.0","+/-2.1","10.0","+/-2.1",,,,,,
"S1401",12.0,"15 to 17 years","95.6","+/-1.7","91.6","+/-2.0","8.4","+/-2.0",,,,,,
"S1401",13.0,"18
