71,686"
"B24022",9.000,"Life, physical, and social science occupations","100,000+","***","***","***"
"B24022",10.000,"Community and social services occupations","36,644","+/-24,355","12,289","60,999"
"B24022",11.000,"Legal occupations","71,993","+/-28,998","42,995","100,991"
"B24022",12.000,"Education, training, and library occupations","41,228","+/-8,596","32,632","49,824"
"B24022",13.000,"Arts, design, entertainment, sports, and media occupations","41,526","+/-8,059","33,467","49,585"
"B24022",14.000,"Hea
