,14.000,"Built 2000 to 2004","2,908","+/-868","2,040","3,776"
"B25036",15.000,"Built 1990 to 1999","5,185","+/-1,177","4,008","6,362"
"B25036",16.000,"Built 1980 to 1989","9,770","+/-1,716","8,054","11,486"
"B25036",17.000,"Built 1970 to 1979","18,224","+/-1,912","16,312","20,136"
"B25036",18.000,"Built 1960 to 1969","20,512","+/-2,068","18,444","22,580"
"B25036",19.000,"Built 1950 to 1959","23,083","+/-2,655","20,428","25,738"
"B25036",20.000,"Built 1940 to 1949","8,455","+/-1,507","6,948","9,962"
"B25036"
