,8.000,"$35,000 to $39,999","592","+/-358","234","950"
"B19101F",9.000,"$40,000 to $44,999","413","+/-259","154","672"
"B19101F",10.000,"$45,000 to $49,999","211","+/-226","0","437"
"B19101F",11.000,"$50,000 to $59,999","1,132","+/-626","506","1,758"
"B19101F",12.000,"$60,000 to $74,999","1,494","+/-649","845","2,143"
"B19101F",13.000,"$75,000 to $99,999","2,004","+/-818","1,186","2,822"
"B19101F",14.000,"$100,000 to $124,999","595","+/-363","232","958"
"B19101F",15.000,"$125,000 to $149,999","437","+/-255"
