0000,"Householder lived in renter-occupied housing units","36,530","+/-5,065","31,465","41,595"
"B07413",13.0000,"Moved to different state:","50,164","+/-4,791","45,373","54,955"
"B07413",14.0000,"Householder lived in owner-occupied housing units","19,211","+/-2,902","16,309","22,113"
"B07413",15.0000,"Householder lived in renter-occupied housing units","30,953","+/-4,026","26,927","34,979"
"C07401",.,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES",,,,
"C07401",
