, AND YEAR OF ENTRY"," "," "," "," "," "," "," "
"        2","      66","     Total population","     1,229,997","   100%","     1,229,569","   100%","          -428","*****","- -"
"        2","      67","Native","     1,183,891","  96.3%","     1,178,058","  95.8%","- 0.5%","+/-0.8%","no"
"        2","      68","     Born in United States","     1,176,002","  95.6%","     1,168,822","  95.1%","- 0.5%","+/-0.8%","no"
"        2","      69","          State of residence","     1,008,706","  82.0%","     
