B17004",.,"POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY WORK EXPERIENCE",,,,
"B17004",.,"Universe:  Population 16 years and over for whom poverty status is determined",,,,
"B17004",1.000,"Total:","3,432,121","+/-7,439","3,424,682","3,439,560"
"B17004",2.000,"Income in the past 12 months below poverty level:","217,875","+/-9,092","208,783","226,967"
"B17004",3.000,"Male:","84,044","+/-5,620","78,424","89,664"
"B17004",4.000,"Worked full time, year-round","8,794","+/-1,926","6,868","10,720"
"
