619999 ,TURKEYS UNSPECIFIED ,47 ,Merced ,  ,  ,  ,  ,  ,62451000
2007 ,619999 ,TURKEYS UNSPECIFIED ,77 ,San Joaquin ,  ,  ,  ,  ,  ,4025000
2007 ,619999 ,TURKEYS UNSPECIFIED ,99 ,Stanislaus ,  ,  ,  ,  ,  ,47219000
2007 ,619999 ,TURKEYS UNSPECIFIED ,107 ,Tulare ,  ,  ,  ,  ,  ,6507000
2007 ,619999 ,TURKEYS UNSPECIFIED ,991 ,Sum of Others ,  ,  ,  ,  ,  ,714500
2007 ,619999 ,TURKEYS UNSPECIFIED , 999, State Totals,0 ,  ,0 ,  ,    ,201737500
2007 ,380999 ,TURNIPS ALL ,71 ,San Bernardino ,3 ,5.33 ,16 ,87
