tion, maintenance, and repair occupations","48,088","+/-12,446","35,642","60,534"
"B24012",32.000,"Production, transportation, and material moving occupations:","32,292","+/-7,596","24,696","39,888"
"B24012",33.000,"Production occupations","31,430","+/-5,438","25,992","36,868"
"B24012",34.000,"Transportation and material moving occupations:","35,950","+/-19,887","16,063","55,837"
"B24012",35.000,"Supervisors, transportation and material moving workers, and other transportation workers except motor vehicle o
