,34.000,"Speak only English","N","N","N","N"
"B08113",35.000,"Speak Spanish:","N","N","N","N"
"B08113",36.000,"Speak English ""very well""","N","N","N","N"
"B08113",37.000,"Speak English less than ""very well""","N","N","N","N"
"B08113",38.000,"Speak other languages:","N","N","N","N"
"B08113",39.000,"Speak English ""very well""","N","N","N","N"
"B08113",40.000,"Speak English less than ""very well""","N","N","N","N"
"B08113",41.000,"Taxicab, motorcycle, bicycle, or other means:","N","N","N","N"
"B08113",42.0
