,TOMATOES FRESH MARKET ,59 ,Orange ,11 ,8.55 ,94 ,1589.36 ,TONS ,149400
2007 ,378199 ,TOMATOES FRESH MARKET ,65 ,Riverside ,287 ,5.59 ,1604 ,1590.34 ,TONS ,2550900
2007 ,378199 ,TOMATOES FRESH MARKET ,69 ,San Benito ,1064 ,18.73 ,19929 ,717.00 ,TON ,14289000
2007 ,378199 ,TOMATOES FRESH MARKET ,73 ,San Diego ,2313 ,48.50 ,112181 ,785.00 ,TON ,88061700
2007 ,378199 ,TOMATOES FRESH MARKET ,77 ,San Joaquin ,7880 ,8.12 ,64000 ,523.00 ,TON ,33472000
2007 ,378199 ,TOMATOES FRESH MARKET ,99 ,Stanislaus ,2020 
