997/q2/,inq21997.tgz,991176.nc,19970609,-21.0800,54.8400,0.700000,836.100,7.67000,25.7000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,991177.nc,19970609,-20.3000,56.1000,0.700000,836.100,13.4200,25.3900,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,991178.nc,19970610,-18.8000,59.0000,0.700000,836.100,6.82000,25.2600,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,991179.nc,19970610,-17.9333,60.2167,0.700000,836.100,5.99000,25.3500,,
woce-uot,./data/basins/sc/indian/1997/q2/,
