604","1,042,296,878","297,763","6,714","1,042",0,,6.71,1.04
Jun-95,"6,507,323,598","1,162,019,041","214,154","6,507","1,162",0,,6.51,1.16
Jul-95,"5,840,839,788","1,031,437,915","121,661","5,841","1,031",0,,5.84,1.03
Aug-95,"7,063,690,996","1,131,817,542","279,094","7,064","1,132",0,,7.06,1.13
Sep-95,"6,823,952,343","1,189,889,732","596,851","6,824","1,190",1,,6.82,1.19
Oct-95,"7,341,182,417","1,331,707,522","16,399,641","7,341","1,332",16,,7.34,1.33
Nov-95,"6,865,262,204","1,311,443,364","243,229","6,
