to $14,999","547","+/-354","193","901"
"C19037I",16.000,"$15,000 to $24,999","2,069","+/-860","1,209","2,929"
"C19037I",17.000,"$25,000 to $34,999","2,545","+/-899","1,646","3,444"
"C19037I",18.000,"$35,000 to $49,999","2,500","+/-783","1,717","3,283"
"C19037I",19.000,"$50,000 to $74,999","5,479","+/-1,202","4,277","6,681"
"C19037I",20.000,"$75,000 to $99,999","3,607","+/-933","2,674","4,540"
"C19037I",21.000,"$100,000 to $149,999","2,606","+/-687","1,919","3,293"
"C19037I",22.000,"$150,000 to $199,999","1,
