tructures","11.7","+/-3.9","14.5","+/-6.1","16.7","+/-8.0","8.5","+/-6.9",,,,
"S1002",31.0,"In mobile homes and all other types of units","5.8","+/-2.7","5.5","+/-3.3","6.1","+/-4.1","3.8","+/-4.9",,,,
"S1002",31.3,,,,,,,,,,,,,
"S1002",31.5,"HOUSING TENURE",,,,,,,,,,,,
"S1002",32.0,"In owner-occupied housing units","63.1","+/-5.4","60.1","+/-7.8","51.0","+/-9.4","85.1","+/-9.1",,,,
"S1002",33.0,"In renter-occupied housing units","36.9","+/-5.4","39.9","+/-7.8","49.0","+/-9.4","14.9","+/-9.1",,,,
"S1002",33.
