, year-round in the past 12 months","0","+/-303","0","303"
"B17016",6.000,"Spouse worked part-time or part-year in the past 12 months","475","+/-407","68","882"
"B17016",7.000,"Spouse did not work in the past 12 months","364","+/-365","0","729"
"B17016",8.000,"Householder worked part-time or part-year in the past 12 months:","984","+/-455","529","1,439"
"B17016",9.000,"Spouse worked full-time, year-round in the past 12 months","207","+/-212","0","419"
"B17016",10.000,"Spouse worked part-time or part-year in
