C25032B",.,"Universe:  Occupied housing units with a householder who is Black or African American alone",,,,
"C25032B",1.000,"Total:","8,886","+/-879","8,007","9,765"
"C25032B",2.000,"1, detached or attached","5,998","+/-937","5,061","6,935"
"C25032B",3.000,"2 to 4 units","1,505","+/-715","790","2,220"
"C25032B",4.000,"5 or more units","914","+/-479","435","1,393"
"C25032B",5.000,"Mobile home, boat, RV, van, etc.","469","+/-312","157","781"
"C25032C",.,"UNITS IN STRUCTURE (AMERICAN INDIAN AND ALASKA NATIVE 
