.000,"65 to 74 years","12,390","+/-1,350","11,040","13,740"
"C06001",18.000,"75 years and over","13,643","+/-1,328","12,315","14,971"
"C06001",19.000,"Born in other state in the United States:","118,551","+/-5,513","113,038","124,064"
"C06001",20.000,"Under 5 years","1,752","+/-765","987","2,517"
"C06001",21.000,"5 to 17 years","6,067","+/-1,660","4,407","7,727"
"C06001",22.000,"18 to 24 years","4,045","+/-929","3,116","4,974"
"C06001",23.000,"25 to 44 years","28,756","+/-2,740","26,016","31,496"
"C06001",2
