"N","N","N","N"
"B13002C",7.000,"Unmarried (never married, widowed and divorced)","N","N","N","N"
"B13002D",.,"WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (ASIAN ALONE)",,,,
"B13002D",.,"Universe:  Asian alone women 15 to 50 years",,,,
"B13002D",1.000,"Total:","8,441","+/-1,223","7,218","9,664"
"B13002D",2.000,"Women who had a birth in the past 12 months:","793","+/-526","267","1,319"
"B13002D",3.000,"Now married (including separated and spouse absent)","690","+/-509","181",
