,181999 ,HAY ALFALFA ,49 ,Modoc ,34500 ,5.30 ,182850 ,140.00 ,TON ,25599000
2007 ,181999 ,HAY ALFALFA ,51 ,Mono ,11000 ,6.25 ,68750 ,165.00 ,TON ,11343800
2007 ,181999 ,HAY ALFALFA ,53 ,Monterey ,210 ,5.00 ,1050 ,210.48 ,TONS ,221000
2007 ,181999 ,HAY ALFALFA ,63 ,Plumas ,5500 ,4.00 ,22000 ,155.00 ,TONS ,3410000
2007 ,181999 ,HAY ALFALFA ,65 ,Riverside ,45351 ,8.50 ,385484 ,166.00 ,TONS ,63990300
2007 ,181999 ,HAY ALFALFA ,67 ,Sacramento ,16076 ,7.10 ,114100 ,147.30 ,TON ,16807000
2007 ,181999 ,HAY AL
