00,"Total:","N","N","N","N"
"B25014C",2.000,"1.00 or less occupants per room","N","N","N","N"
"B25014C",3.000,"1.01 or more occupants per room","N","N","N","N"
"B25014D",.,"OCCUPANTS PER ROOM (ASIAN ALONE HOUSEHOLDER)",,,,
"B25014D",.,"Universe:  Occupied housing units with a householder who is Asian alone",,,,
"B25014D",1.000,"Total:","918","+/-340","578","1,258"
"B25014D",2.000,"1.00 or less occupants per room","884","+/-348","536","1,232"
"B25014D",3.000,"1.01 or more occupants per room","34","+/-37","0"
