tatives, services, wholesale and manufacturing","N","N","N","N"
"B24010",80.000,"Other sales and related workers including supervisors","N","N","N","N"
"B24010",81.000,"Office and administrative support occupations:","N","N","N","N"
"B24010",82.000,"Communications equipment operators","N","N","N","N"
"B24010",83.000,"Financial clerks except bookkeeping, accounting, and auditing clerks","N","N","N","N"
"B24010",84.000,"Bookkeeping, accounting, and auditing clerks","N","N","N","N"
"B24010",85.000,"Information
