,78.000,"Value less than $10,000","193","+/-230","0","423"
"B25121",79.000,"Value $10,000 to $19,999","0","+/-303","0","303"
"B25121",80.000,"Value $20,000 to $29,999","137","+/-156","0","293"
"B25121",81.000,"Value $30,000 to $39,999","275","+/-382","0","657"
"B25121",82.000,"Value $40,000 to $49,999","0","+/-303","0","303"
"B25121",83.000,"Value $50,000 to $59,999","115","+/-139","0","254"
"B25121",84.000,"Value $60,000 to $69,999","281","+/-211","70","492"
"B25121",85.000,"Value $70,000 to $79,999","53",
