,"47.0"
"B01002C",.,"MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE)",,,,
"B01002C",.,"Universe:  American Indian and Alaska Native alone population",,,,
"B01002C",0.700,"Median age --",,,,
"B01002C",1.000,"Total:","44.8","+/-3.5","41.3","48.3"
"B01002C",2.000,"Male","46.9","+/-2.8","44.1","49.7"
"B01002C",3.000,"Female","43.2","+/-15.7","27.5","58.9"
"B01002D",.,"MEDIAN AGE BY SEX (ASIAN ALONE)",,,,
"B01002D",.,"Universe:  Asian alone population",,,,
"B01002D",0.700,"Median age --",,,,
"B01002D",1.00
