5.000,"75 to 84 years","7,064","+/-1,335","5,729","8,399"
"B12002",126.000,"85 years and over","1,096","+/-531","565","1,627"
"B12002",127.000,"Married, spouse absent:","16,407","+/-2,367","14,040","18,774"
"B12002",128.000,"Separated:","6,699","+/-1,428","5,271","8,127"
"B12002",129.000,"15 to 17 years","0","+/-303","0","303"
"B12002",130.000,"18 and 19 years","0","+/-303","0","303"
"B12002",131.000,"20 to 24 years","476","+/-353","123","829"
"B12002",132.000,"25 to 29 years","1,078","+/-649","429","1,727"
