Foreign born",231,"Male householder, no spouse present, family","7.8","+/-0.9","8.2","+/-2.3"
"601","Foreign born",232,"Median income (dollars)","43,479","+/-4,614","27,279","+/-6,797"
"601","Foreign born",233,"Female householder, no husband present, family","20.0","+/-1.4","21.7","+/-3.6"
"601","Foreign born",234,"Median income (dollars)","28,405","+/-1,918","25,988","+/-3,567"
"601","Foreign born",235,"Individuals","967,089","*****","130,510","+/-7,225"
"601","Foreign born",236,"Per capita income (dollars
