ng, fishing, and forestry occupations","0","+/-292","0","292"
"C24010D",14.000,"Construction, extraction, maintenance, and repair occupations","0","+/-292","0","292"
"C24010D",15.000,"Production, transportation, and material moving occupations","655","+/-341","314","996"
"C24010E",.,"SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE)",,,,
"C24010E",.,"Universe:  Civilian employed Native Hawaiian and Other Pacific Islander alone populat
