3H",.,"Universe:  White alone, not Hispanic or Latino population",,,,
"B05003H",1.000,"Total:","3,088,253","+/-8,536","3,079,717","3,096,789"
"B05003H",2.000,"Male:","1,515,444","+/-4,698","1,510,746","1,520,142"
"B05003H",3.000,"Under 18 years:","358,324","+/-2,858","355,466","361,182"
"B05003H",4.000,"Native","353,210","+/-2,905","350,305","356,115"
"B05003H",5.000,"Foreign born:","5,114","+/-1,049","4,065","6,163"
"B05003H",6.000,"Naturalized U.S. citizen","1,441","+/-480","961","1,921"
"B05003H",7.000,"
