,"American (993-994)",37,"Population in households","649,903","+/-4,842","170,060","+/-9,249"
"573","American (993-994)",38,"Householder or spouse","62.9","+/-1.0","61.0","+/-2.0"
"573","American (993-994)",39,"Child","26.2","+/-0.8","28.6","+/-2.0"
"573","American (993-994)",40,"Other relatives","5.4","+/-0.6","4.5","+/-1.1"
"573","American (993-994)",41,"Nonrelatives","5.5","+/-0.7","5.9","+/-1.5"
"573","American (993-994)",42,"Unmarried partner","2.2","+/-0.3","2.1","+/-0.7"
"573","American (993-994)",43
