family households","N","N","N","N"
"C11002C",3.000,"In nonfamily households","N","N","N","N"
"C11002D",.,"HOUSEHOLD TYPE FOR POPULATION IN HOUSEHOLDS (ASIAN ALONE)",,,,
"C11002D",.,"Universe:  Population in households with a householder who is Asian alone",,,,
"C11002D",1.000,"Total:","170,527","+/-3,558","166,969","174,085"
"C11002D",2.000,"In family households","152,136","+/-4,382","147,754","156,518"
"C11002D",3.000,"In nonfamily households","18,391","+/-3,435","14,956","21,826"
"C11002E",.,"HOUSEHOLD TY
