IGHWAYS. (PAH)
1940,UNK,WAPAKONETA,AUGLAIZE,OH,40.57,-84.19,A FEW POWER POLES WERE SNAPPED...AND SOME MINOR STRUCTURAL DAMAGE WAS ALSO REPORTED. (ILN)
2015,60,MASON CITY,CERRO GORDO,IA,43.15,-93.2,(DMX)
2020,UNK,JACKSON,MADISON,TN,35.63,-88.83,SEVERAL LARGE TREES DOWN IN JACKSON. SEVERAL MOBILE HOMES SUSTAINED DAMAGE DUE TO FELLED TREES IN JACKSON. (MEG)
2020,UNK,MANLY,WORTH,IA,43.29,-93.2,WINDS TORE OFF SHINGLES AND SOME SIDING FROM A BAR AND ANOTHER BUSINESS IN MANLY. (DMX)
2034,59,THOMPSON,WINNEBAGO,IA,4
