02G",5.000,"Women who did not have a birth in the past 12 months:","5,742","+/-1,269","4,473","7,011"
"B13002G",6.000,"Now married (including separated and spouse absent)","1,931","+/-785","1,146","2,716"
"B13002G",7.000,"Unmarried (never married, widowed and divorced)","3,811","+/-1,000","2,811","4,811"
"B13002H",.,"WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)",,,,
"B13002H",.,"Universe:  White alone, not Hispanic or Latino women 15 to 5
