.000,"$12,500 to $14,999","227","+/-203","24","430"
"B20005F",35.000,"$15,000 to $17,499","454","+/-382","72","836"
"B20005F",36.000,"$17,500 to $19,999","112","+/-132","0","244"
"B20005F",37.000,"$20,000 to $22,499","312","+/-323","0","635"
"B20005F",38.000,"$22,500 to $24,999","169","+/-233","0","402"
"B20005F",39.000,"$25,000 to $29,999","291","+/-224","67","515"
"B20005F",40.000,"$30,000 to $34,999","220","+/-179","41","399"
"B20005F",41.000,"$35,000 to $39,999","265","+/-275","0","540"
"B20005F",42.000
