42.000,"16 to 19 years:","7,049","+/-896","6,153","7,945"
"B23002D",43.000,"In labor force:","2,174","+/-697","1,477","2,871"
"B23002D",44.000,"In Armed Forces","0","+/-283","0","283"
"B23002D",45.000,"Civilian:","2,174","+/-697","1,477","2,871"
"B23002D",46.000,"Employed","1,895","+/-651","1,244","2,546"
"B23002D",47.000,"Unemployed","279","+/-226","53","505"
"B23002D",48.000,"Not in labor force","4,875","+/-766","4,109","5,641"
"B23002D",49.000,"20 to 24 years:","6,726","+/-921","5,805","7,647"
"B23002D",
