000,"Manufacturing","65","+/-108","0","173"
"B24050",115.000,"Wholesale trade","513","+/-329","184","842"
"B24050",116.000,"Retail trade","81","+/-136","0","217"
"B24050",117.000,"Transportation and warehousing, and utilities:","0","+/-283","0","283"
"B24050",118.000,"Transportation and warehousing","0","+/-283","0","283"
"B24050",119.000,"Utilities","0","+/-283","0","283"
"B24050",120.000,"Information","0","+/-283","0","283"
"B24050",121.000,"Finance and insurance, and real estate and rental and leasing:",
