rican (993-994)",259,"65 years and over","12.2","+/-1.9","13.1","+/-3.3"
"573","American (993-994)",260,"People in families","14.4","+/-1.7","14.7","+/-2.8"
"573","American (993-994)",261,"Unrelated individuals 15 years and over","32.5","+/-2.4","31.6","+/-5.4"
"573","American (993-994)",262,"Occupied housing units","270,918","+/-3,719","67,903","+/-3,794"
"573","American (993-994)",263,"Owner-occupied housing units","71.0","+/-1.3","69.1","+/-3.1"
"573","American (993-994)",264,"Renter-occupied housing uni
