157.000,"Building material and garden equipment and supplies dealers","4,837","+/-966","3,871","5,803"
"B24030",158.000,"Food and beverage stores","26,090","+/-2,663","23,427","28,753"
"B24030",159.000,"Pharmacies and drug stores","7,222","+/-1,823","5,399","9,045"
"B24030",160.000,"Other health and personal care stores","2,566","+/-919","1,647","3,485"
"B24030",161.000,"Gasoline stations","2,327","+/-667","1,660","2,994"
"B24030",162.000,"Clothing and clothing accessories, including shoe, stores","12,224",
