-0.5","9.8","+/-2.3"
"071","Some other race alone or in combination with one or more other races",285,"Owner-occupied housing units","238,760","+/-4,320","26,752","+/-2,370"
"071","Some other race alone or in combination with one or more other races",286,"Less than 30 percent","70.8","+/-1.5","63.9","+/-4.5"
"071","Some other race alone or in combination with one or more other races",287,"30 percent or more","29.2","+/-1.5","36.1","+/-4.5"
"071","Some other race alone or in combination with one or more othe
