.000,"Retail trade","N","N","N","N"
"B24050",171.000,"Transportation and warehousing, and utilities:","N","N","N","N"
"B24050",172.000,"Transportation and warehousing","N","N","N","N"
"B24050",173.000,"Utilities","N","N","N","N"
"B24050",174.000,"Information","N","N","N","N"
"B24050",175.000,"Finance and insurance, and real estate and rental and leasing:","N","N","N","N"
"B24050",176.000,"Finance and insurance","N","N","N","N"
"B24050",177.000,"Real estate and rental and leasing","N","N","N","N"
"B24050",17
