P04",21.0,"Built 1970 to 1979","10,134","+/-1,461","24.3","+/-3.2"
"DP04",22.0,"Built 1960 to 1969","9,623","+/-1,323","23.0","+/-2.9"
"DP04",23.0,"Built 1950 to 1959","3,864","+/-828","9.3","+/-2.1"
"DP04",24.0,"Built 1940 to 1949","842","+/-482","2.0","+/-1.1"
"DP04",25.0,"Built 1939 or earlier","338","+/-214","0.8","+/-0.5"
"DP04",25.3,,,,,
"DP04",25.5,"ROOMS",,,,
"DP04",26.0,"Total housing units","41,758","+/-2,322","100","(X)"
"DP04",27.0,"1 room","546","+/-336","1.3","+/-0.8"
"DP04",28.0,"2 rooms","2,
