"
"C05003E",.,"SEX BY AGE BY NATIVITY (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE)",,,,
"C05003E",.,"Universe:  Native Hawaiian and Other Pacific Islander alone population",,,,
"C05003E",1.000,"Total:","N","N","N","N"
"C05003E",2.000,"Male:","N","N","N","N"
"C05003E",3.000,"Under 18 years:","N","N","N","N"
"C05003E",4.000,"Native","N","N","N","N"
"C05003E",5.000,"Foreign born","N","N","N","N"
"C05003E",6.000,"18 years and over:","N","N","N","N"
"C05003E",7.000,"Native","N","N","N","N"
"C05003E",8.000,
