0.1","0.0","+/-0.1"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",5,"Four or more races","0.0","+/-0.1","0.0","+/-0.1"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",6,"Male","48.9","+/-0.3","48.6","+/-0.2"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",7,"Female","51.1","+/-0.3","51.4","+/-0.2"
"452","White alone or in combination with one or more other races, not Hispanic or
