,47.000,"Administrative and support and waste management services","2,596","+/-863","1,733","3,459"
"C24030",48.000,"Educational services, and health care and social assistance:","42,302","+/-2,777","39,525","45,079"
"C24030",49.000,"Educational services","14,061","+/-1,647","12,414","15,708"
"C24030",50.000,"Health care and social assistance","28,241","+/-2,328","25,913","30,569"
"C24030",51.000,"Arts, entertainment, and recreation, and accommodation and food services:","10,419","+/-1,694","8,725","12,113"
