o $24,999","2,387","+/-891","1,496","3,278"
"B19037A",7.000,"$25,000 to $29,999","3,569","+/-1,050","2,519","4,619"
"B19037A",8.000,"$30,000 to $34,999","4,241","+/-1,335","2,906","5,576"
"B19037A",9.000,"$35,000 to $39,999","2,512","+/-980","1,532","3,492"
"B19037A",10.000,"$40,000 to $44,999","2,511","+/-928","1,583","3,439"
"B19037A",11.000,"$45,000 to $49,999","4,259","+/-1,398","2,861","5,657"
"B19037A",12.000,"$50,000 to $59,999","3,669","+/-1,338","2,331","5,007"
"B19037A",13.000,"$60,000 to $74,999"
