000,"Furniture and home furnishings, and household appliance stores","2,557","+/-853","1,704","3,410"
"B24040",156.000,"Radio, TV, and computer and software, and other electronic stores","3,215","+/-948","2,267","4,163"
"B24040",157.000,"Building material and garden equipment and supplies dealers","3,324","+/-847","2,477","4,171"
"B24040",158.000,"Food and beverage stores","13,800","+/-2,051","11,749","15,851"
"B24040",159.000,"Pharmacies and drug stores","4,321","+/-1,344","2,977","5,665"
"B24040",160.000,
