.000,"$30,000 to $34,999","5,957","+/-1,281","4,676","7,238"
"B19101",8.000,"$35,000 to $39,999","3,923","+/-1,001","2,922","4,924"
"B19101",9.000,"$40,000 to $44,999","4,450","+/-1,086","3,364","5,536"
"B19101",10.000,"$45,000 to $49,999","4,860","+/-1,134","3,726","5,994"
"B19101",11.000,"$50,000 to $59,999","11,012","+/-1,781","9,231","12,793"
"B19101",12.000,"$60,000 to $74,999","18,335","+/-2,032","16,303","20,367"
"B19101",13.000,"$75,000 to $99,999","23,298","+/-2,370","20,928","25,668"
"B19101",14.0
