Mexican",2,"One race","97.4","+/-0.4","97.1","+/-1.5"
"401","Mexican",3,"Two races","2.5","+/-0.3","2.7","+/-1.5"
"401","Mexican",4,"Three races","0.1","+/-0.1","0.1","+/-0.2"
"401","Mexican",5,"Four or more races","0.0","+/-0.1","0.0","+/-0.2"
"401","Mexican",6,"Male","50.6","+/-0.4","52.9","+/-1.9"
"401","Mexican",7,"Female","49.4","+/-0.4","47.1","+/-1.9"
"401","Mexican",8,"Under 5 years","6.9","+/-0.3","11.5","+/-1.1"
"401","Mexican",9,"5 to 17 years","18.1","+/-0.3","31.5","+/-1.4"
"401","Mexican",10,"
