 alone or in combination with one or more other races",2,"One race","98.6","+/-0.3","98.5","+/-0.3"
"003","White alone or in combination with one or more other races",3,"Two races","1.4","+/-0.3","1.4","+/-0.3"
"003","White alone or in combination with one or more other races",4,"Three races","0.1","+/-0.1","0.1","+/-0.1"
"003","White alone or in combination with one or more other races",5,"Four or more races","0.0","+/-0.1","0.0","+/-0.1"
"003","White alone or in combination with one or more other races",6
