    284"," "," "," "," "
"S0201","         284","  157,600","+/-2,190","  167,200","+/-2,425"
"S0201","         285","    1,287","   +/-22","    1,324","   +/-24"
"S0201","         286","      344","    +/-7","      348","   +/-10"
" ","         286"," "," "," "," "
"S0201","         287","  193,411","+/-5,411","  106,331","+/-5,011"
" ","         288"," "," "," "," "
"S0201","         288","     56.0","  +/-1.9","     60.8","  +/-2.8"
"S0201","         289","     44.0","  +/-1.9","     39.2","  +/-2.8"
" "
